Converting /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90028015505/90028015505Aligned.out.bam to /oak/stanford/groups/smontgom/lonet/motrpac/star_secondpass/90028015505/90028015505Aligned.out.bam.junc
100000 valid, 8749 problematic spliced reads
200000 valid, 17324 problematic spliced reads
300000 valid, 26232 problematic spliced reads
400000 valid, 34916 problematic spliced reads
500000 valid, 43846 problematic spliced reads
600000 valid, 52361 problematic spliced reads
700000 valid, 61103 problematic spliced reads
800000 valid, 69691 problematic spliced reads
900000 valid, 78227 problematic spliced reads
1000000 valid, 87002 problematic spliced reads
1100000 valid, 95571 problematic spliced reads
1200000 valid, 104254 problematic spliced reads
1300000 valid, 112698 problematic spliced reads
1400000 valid, 121353 problematic spliced reads
1500000 valid, 129871 problematic spliced reads
1600000 valid, 138536 problematic spliced reads
1700000 valid, 147110 problematic spliced reads
1800000 valid, 155724 problematic spliced reads
1900000 valid, 164382 problematic spliced reads
2000000 valid, 172981 problematic spliced reads
2100000 valid, 181674 problematic spliced reads
2200000 valid, 190386 problematic spliced reads
2300000 valid, 198953 problematic spliced reads
2400000 valid, 207819 problematic spliced reads
2500000 valid, 216306 problematic spliced reads
2600000 valid, 224783 problematic spliced reads
2700000 valid, 233284 problematic spliced reads
2800000 valid, 241936 problematic spliced reads
2900000 valid, 250603 problematic spliced reads
3000000 valid, 259195 problematic spliced reads
3100000 valid, 267897 problematic spliced reads
3200000 valid, 276484 problematic spliced reads
3300000 valid, 285153 problematic spliced reads
3400000 valid, 293688 problematic spliced reads
3500000 valid, 302248 problematic spliced reads
3600000 valid, 310856 problematic spliced reads
3700000 valid, 319739 problematic spliced reads
3800000 valid, 328375 problematic spliced reads
3900000 valid, 337155 problematic spliced reads
4000000 valid, 345794 problematic spliced reads
4100000 valid, 354506 problematic spliced reads
4200000 valid, 363319 problematic spliced reads
4300000 valid, 372100 problematic spliced reads
4400000 valid, 380654 problematic spliced reads
4500000 valid, 389269 problematic spliced reads
4600000 valid, 397780 problematic spliced reads
4700000 valid, 406425 problematic spliced reads
4800000 valid, 414984 problematic spliced reads
4900000 valid, 423709 problematic spliced reads
5000000 valid, 432256 problematic spliced reads
5100000 valid, 441073 problematic spliced reads
5200000 valid, 449512 problematic spliced reads
5300000 valid, 458249 problematic spliced reads
5400000 valid, 466728 problematic spliced reads
5500000 valid, 475347 problematic spliced reads
5600000 valid, 483954 problematic spliced reads
5700000 valid, 492452 problematic spliced reads
5800000 valid, 501172 problematic spliced reads
5900000 valid, 509554 problematic spliced reads
6000000 valid, 518152 problematic spliced reads
6100000 valid, 526775 problematic spliced reads
6200000 valid, 535554 problematic spliced reads
6300000 valid, 543963 problematic spliced reads
6400000 valid, 552661 problematic spliced reads
6500000 valid, 561258 problematic spliced reads
6600000 valid, 569953 problematic spliced reads
6700000 valid, 578472 problematic spliced reads
6800000 valid, 587184 problematic spliced reads
6900000 valid, 595875 problematic spliced reads
7000000 valid, 604569 problematic spliced reads
7100000 valid, 613128 problematic spliced reads
7200000 valid, 621747 problematic spliced reads
7300000 valid, 630608 problematic spliced reads
7400000 valid, 639442 problematic spliced reads
7500000 valid, 648080 problematic spliced reads
7600000 valid, 656532 problematic spliced reads
7700000 valid, 665265 problematic spliced reads
7800000 valid, 673773 problematic spliced reads
7900000 valid, 682425 problematic spliced reads
8000000 valid, 691100 problematic spliced reads
8100000 valid, 699557 problematic spliced reads
8200000 valid, 708074 problematic spliced reads
8300000 valid, 716619 problematic spliced reads
8400000 valid, 725359 problematic spliced reads
8500000 valid, 733744 problematic spliced reads
8600000 valid, 742463 problematic spliced reads
8700000 valid, 750962 problematic spliced reads
8800000 valid, 759662 problematic spliced reads
8900000 valid, 768389 problematic spliced reads
9000000 valid, 777056 problematic spliced reads
9100000 valid, 785818 problematic spliced reads
9200000 valid, 794345 problematic spliced reads
9300000 valid, 803354 problematic spliced reads
9400000 valid, 811837 problematic spliced reads
9500000 valid, 820606 problematic spliced reads
9600000 valid, 829190 problematic spliced reads
9700000 valid, 837656 problematic spliced reads
9800000 valid, 846257 problematic spliced reads
9900000 valid, 854757 problematic spliced reads
10000000 valid, 863335 problematic spliced reads
10100000 valid, 872044 problematic spliced reads
10200000 valid, 880640 problematic spliced reads
10300000 valid, 889401 problematic spliced reads
10400000 valid, 898061 problematic spliced reads
10500000 valid, 906677 problematic spliced reads
10600000 valid, 915218 problematic spliced reads
10700000 valid, 923826 problematic spliced reads
10800000 valid, 932288 problematic spliced reads
10900000 valid, 941109 problematic spliced reads
11000000 valid, 949676 problematic spliced reads
11100000 valid, 958622 problematic spliced reads
11200000 valid, 967262 problematic spliced reads
11300000 valid, 975848 problematic spliced reads
